"","CAM","CB","CDM","CM","GK","LB","LM","LW","RB","RM","RW","ST"
"CAM",524,0,0,289,0,1,100,9,1,34,1,65
"CB",0,2677,188,37,0,67,2,0,196,1,0,17
"CDM",12,75,878,427,0,16,0,0,33,1,0,5
"CM",219,0,162,1739,0,3,2,0,0,7,0,7
"GK",0,0,0,0,1999,0,0,0,0,0,0,0
"LB",16,43,27,80,0,534,24,0,542,54,2,11
"LM",114,0,1,90,0,24,413,37,30,216,7,103
"LW",44,0,0,17,0,0,149,37,1,69,16,50
"RB",8,48,51,85,0,362,31,0,747,64,0,8
"RM",105,0,1,79,0,22,293,39,36,298,9,79
"RW",57,0,0,29,0,1,135,29,0,91,15,45
"ST",49,0,0,73,0,0,59,3,0,25,3,2213
