"","CAM","CB","CDM","CM","GK","LB","LM","LW","RB","RM","RW","ST"
"CAM",366,5,18,197,0,40,217,50,41,30,19,41
"CB",0,2536,419,59,0,7,1,2,140,0,2,19
"CDM",24,202,594,434,0,14,4,8,142,8,2,15
"CM",272,45,351,1026,0,60,88,32,193,33,16,23
"GK",0,6,1,0,1992,0,0,0,0,0,0,0
"LB",33,113,77,189,0,168,30,25,569,102,8,19
"LM",126,1,11,68,0,43,362,82,73,172,36,61
"LW",38,0,0,17,0,11,132,69,20,45,25,26
"RB",16,125,102,180,0,126,36,22,684,102,1,10
"RM",107,2,6,63,0,34,298,83,79,209,33,47
"RW",49,0,1,9,0,14,135,62,24,55,33,20
"ST",81,91,9,40,0,33,128,125,30,59,27,1802
