"","CAM","CB","CDM","CM","GK","LB","LM","LW","RB","RM","RW","ST"
"CAM", 687, 0, 0, 182, 0, 3, 58, 4, 0, 13, 7, 70
"CB", 0, 2965, 116, 16, 0, 16, 0, 0, 71, 0, 0, 1
"CDM", 0, 94, 1098, 224, 0, 6, 0, 0, 25, 0, 0, 0
"CM", 30, 0, 54, 2046, 0, 2, 0, 0, 0, 0, 0, 7
"GK", 0, 0, 0, 0, 1999, 0, 0, 0, 0, 0, 0, 0
"LB", 1, 75, 22, 40, 0, 638, 1, 0, 546, 10, 0, 0
"LM", 112, 0, 2, 42, 0, 49, 487, 3, 25, 207, 9, 99
"LW", 64, 0, 0, 7, 0, 2, 166, 8, 0, 65, 2, 48
"RB", 0, 86, 47, 41, 0, 401, 1, 0, 821, 5, 0, 2
"RM", 110, 0, 5, 31, 0, 38, 368, 2, 55, 256, 1, 82
"RW", 63, 0, 0, 9, 0, 3, 144, 6, 7, 98, 2, 47
"ST", 33, 1, 0, 18, 0, 0, 18, 1, 1, 7, 8, 2338
